normal: stack-mission_riscv64_normal.pc,normal: stack-mission_riscv64_normal_mimic_payload.pc
32.0,32.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
-124.0,-124.0
110.0,110.0
-50.0,-50.0
48.0,48.0
-118.0,-118.0
116.0,116.0
32.0,32.0
28.0,28.0
12.0,12.0
524.0,524.0
16.0,16.0
18.0,18.0
-116.0,-116.0
-562.0,-562.0
12.0,12.0
22.0,22.0
22.0,-258.0
436.0,32.0
16.0,28.0
18.0,12.0
-116.0,524.0
-474.0,16.0
454.0,18.0
18.0,-116.0
-554.0,-562.0
32.0,12.0
28.0,22.0
26.0,-258.0
216.0,32.0
16.0,28.0
18.0,12.0
-116.0,524.0
-254.0,16.0
26.0,18.0
216.0,-116.0
18.0,-562.0
-316.0,12.0
-572.0,22.0
32.0,-258.0
28.0,32.0
22.0,28.0
424.0,12.0
-814.0,524.0
812.0,16.0
-920.0,18.0
906.0,-116.0
-50.0,-562.0
-920.0,12.0
906.0,22.0
-50.0,-258.0
-920.0,32.0
906.0,28.0
-50.0,12.0
-920.0,524.0
906.0,16.0
-50.0,18.0
-920.0,-116.0
906.0,-562.0
-50.0,12.0
-920.0,22.0
906.0,-258.0
-50.0,32.0
-920.0,28.0
906.0,12.0
-50.0,524.0
-920.0,16.0
906.0,18.0
-50.0,-116.0
-920.0,-562.0
906.0,12.0
-50.0,22.0
-920.0,-258.0
906.0,32.0
-50.0,28.0
-920.0,12.0
906.0,524.0
-50.0,16.0
-920.0,18.0
906.0,-116.0
-50.0,-562.0
48.0,12.0
-1008.0,22.0
-182.0,-258.0
10.0,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,-258.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,22.0
,436.0
,16.0
,18.0
,-116.0
,-474.0
,454.0
,18.0
,-554.0
,32.0
,28.0
,26.0
,216.0
,16.0
,18.0
,-116.0
,-254.0
,26.0
,216.0
,18.0
,-316.0
,-572.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,22.0
,436.0
,16.0
,18.0
,-116.0
,-474.0
,454.0
,18.0
,-554.0
,32.0
,28.0
,26.0
,216.0
,16.0
,18.0
,-116.0
,-254.0
,26.0
,216.0
,18.0
,-316.0
,-572.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,22.0
,436.0
,16.0
,18.0
,-116.0
,-474.0
,454.0
,18.0
,-554.0
,32.0
,28.0
,26.0
,216.0
,16.0
,18.0
,-116.0
,-254.0
,26.0
,216.0
,18.0
,-316.0
,-572.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,22.0
,436.0
,16.0
,18.0
,-116.0
,-474.0
,454.0
,18.0
,-554.0
,32.0
,28.0
,26.0
,216.0
,16.0
,18.0
,-116.0
,-254.0
,26.0
,216.0
,18.0
,-316.0
,-572.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,22.0
,436.0
,16.0
,18.0
,-116.0
,-474.0
,454.0
,18.0
,-554.0
,32.0
,28.0
,26.0
,216.0
,16.0
,18.0
,-116.0
,-254.0
,26.0
,216.0
,18.0
,-316.0
,-572.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,22.0
,436.0
,16.0
,18.0
,-116.0
,-474.0
,454.0
,18.0
,-554.0
,32.0
,28.0
,26.0
,216.0
,16.0
,18.0
,-116.0
,-254.0
,26.0
,216.0
,18.0
,-316.0
,-572.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,22.0
,436.0
,16.0
,18.0
,-116.0
,-474.0
,454.0
,18.0
,-554.0
,32.0
,28.0
,26.0
,216.0
,16.0
,18.0
,-116.0
,-254.0
,26.0
,216.0
,18.0
,-316.0
,-572.0
,32.0
,28.0
,12.0
,524.0
,16.0
,18.0
,-116.0
,-562.0
,12.0
,22.0
,22.0
,436.0
,16.0
,18.0
,-116.0
,-474.0
,454.0
,18.0
,-554.0
,32.0
,28.0
,26.0
,216.0
,16.0
,18.0
,-116.0
,-254.0
,26.0
,216.0
,18.0
,-316.0
,-572.0
,32.0
,28.0
,22.0
,424.0
,-814.0
,812.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,-920.0
,906.0
,-50.0
,48.0
,-1008.0
,-182.0
,10.0
